superkingdom;kingdom;phylum;class;order;family;genus;Species;Total Magnitude
Eukaryota;Fungi;Ascomycota;Dipodascomycetes;Dipodascales;Trichomonascaceae;Blastobotrys;Blastobotrys aristatus;41069
Eukaryota;Metazoa;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Solea;Solea solea;1538
Eukaryota;Fungi;Ascomycota;Dipodascomycetes;Dipodascales;Dipodascaceae;Geotrichum;Geotrichum candidum;1508
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;1490
Eukaryota;Metazoa;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Austrobatrachus;Austrobatrachus sp. BOLD:AAZ9309;1364
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus campestris;1311
Eukaryota;Metazoa;Chordata;Actinopteri;Characiformes;Characidae;Bryconamericus;Bryconamericus sp. LBPV-16258A;1105
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus sclerotioniger;972
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus clavatophorus;920
Eukaryota;Metazoa;Arthropoda;Insecta;Hymenoptera;Apidae;Eucera;Eucera aeolopus;562
Eukaryota;Metazoa;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens;395
Eukaryota;Metazoa;Chordata;Lepidosauria;Squamata;Gekkonidae;Gehyra;Gehyra mutilata;373
Eukaryota;Metazoa;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera alba;359
Eukaryota;Metazoa;Arthropoda;Insecta;Coleoptera;Lucanidae;Lucanus;Lucanus kraatzi;332
Eukaryota;Metazoa;Arthropoda;Insecta;Coleoptera;Tenebrionidae;Alphitobius;Alphitobius diaperinus;325
Eukaryota;Metazoa;Chordata;Aves;Charadriiformes;Scolopacidae;Actitis;Actitis macularius;302
Eukaryota;Metazoa;Arthropoda;Arachnida;Trombidiformes;Microtrombidiidae;Microtrombidiidae_Incertae_sedis;Microtrombidiidae sp. BIOUG27456-H05;297
Eukaryota;Metazoa;Arthropoda;Insecta;Coleoptera;Mordellidae;Tomoxia;Tomoxia bucephala;269
Eukaryota;Metazoa;Arthropoda;Insecta;Diptera;Dolichopodidae;Dolichopodidae_Incertae_sedis;Dolichopodidae sp. BOLD:ACB1149;259
Eukaryota;Metazoa;Arthropoda;Arachnida;Sarcoptiformes;Acaridae;Tyroborus;Tyroborus sp. AMUEnv048;258
Eukaryota;Fungi;Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Pichia;Pichia terricola;244
Eukaryota;Metazoa;Chordata;Amphibia;Anura;Mantellidae;Gephyromantis;Gephyromantis zavona;166
Eukaryota;Metazoa;Arthropoda;Insecta;Lepidoptera;Lepidoptera_Incertae_sedis;Lepidoptera_Incertae_sedis;Lepidoptera sp. BOLD:AAA3129;136
Eukaryota;Metazoa;Mollusca;Bivalvia;Ostreida;Ostreidae;Ostrea;Ostrea edulis;122
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus affinis;111
Eukaryota;Metazoa;Arthropoda;Insecta;Phasmatodea;Timematidae;Timema;Timema douglasi;100
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Mangrovimonas;Mangrovimonas sp. YM274;94
Eukaryota;Fungi;Ascomycota;Leotiomycetes;Rhytismatales;Cudoniaceae;Spathularia;Spathularia flavida;91
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus versicolor;90
Eukaryota;Metazoa;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus rattus;85
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus magnivesiculatus;82
Eukaryota;Fungi;Mucoromycota;Mucoromycetes;Mucorales;Backusellaceae;Backusella;Backusella lamprospora;78
Eukaryota;Metazoa;Chordata;Chondrichthyes;Orectolobiformes;Hemiscylliidae;Hemiscyllium;Hemiscyllium halmahera;72
Eukaryota;Metazoa;Chordata;Mammalia;Primates;Cercopithecidae;Theropithecus;Theropithecus gelada;72
Eukaryota;Metazoa;Arthropoda;Insecta;Hymenoptera;Formicidae;Trachymyrmex;Trachymyrmex iheringi;65
Eukaryota;Fungi;Basidiomycota;Agaricostilbomycetes;Agaricostilbales;Agaricostilbaceae;Sterigmatomyces;Sterigmatomyces sp.;60
Bacteria;Bacteria_none;Bacteria_none_none;Bacteria_none_none_none;Bacteria_none_none_none_none;Bacteria_none_none_none_none_none;Bacteria_none_none_none_none_none_none;uncultured bacterium;57
Eukaryota;Metazoa;Chordata;Mammalia;Proboscidea;Elephantidae;Mammut;Mammut americanum;55
Eukaryota;Metazoa;Chordata;Aves;Galliformes;Phasianidae;Perdix;Perdix perdix;53
Eukaryota;Metazoa;Arthropoda;Insecta;Diptera;Chironomidae;Chironomidae_Incertae_sedis;Chironomidae sp. LA_LSLRZ9_235;50
Eukaryota;Metazoa;Arthropoda;Malacostraca;Decapoda;Pasiphaeidae;Pasiphaea;Pasiphaea merriami;47
Eukaryota;Metazoa;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Physoschistura;Physoschistura shanensis;42
Eukaryota;Metazoa;Arthropoda;Malacostraca;Amphipoda;Amphipoda_Incertae_sedis;Amphipoda_Incertae_sedis;Amphipoda sp. WCH_2501;38
Eukaryota;Metazoa;Chordata;Amphibia;Caudata;Salamandridae;Lissotriton;Lissotriton boscai;38
Eukaryota;Metazoa;Arthropoda;Insecta;Lepidoptera;Tineidae;Tinea;Tinea translucens;37
Eukaryota;Metazoa;Arthropoda;Insecta;Coleoptera;Curculionidae;Echinodera;Echinodera bargouensis;33
Eukaryota;Metazoa;Chordata;Actinopteri;Beloniformes;Adrianichthyidae;Oryzias;Oryzias latipes;31
Eukaryota;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Imshaugia;Imshaugia aleurites;30
Eukaryota;Fungi;Ascomycota;Dipodascomycetes;Dipodascales;Dipodascaceae;Magnusiomyces;Magnusiomyces capitatus;28
Eukaryota;Metazoa;Annelida;Clitellata;Tubificida;Naididae;Limnodrilus;Limnodrilus profundicola;28
Eukaryota;Metazoa;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Holotrichia;Holotrichia longipennis;27
Eukaryota;Metazoa;Arthropoda;Insecta;Hymenoptera;Apidae;Diadasia;Diadasia opuntiae;27
Eukaryota;Metazoa;Annelida;Clitellata;Crassiclitellata;Megascolecidae;Amynthas;Amynthas sp. YN201107-13;24
Eukaryota;Metazoa;Arthropoda;Arachnida;Opiliones;Gonyleptidae;Pachylibunus;Pachylibunus sp. MZSP 72933;24
Eukaryota;Metazoa;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus;23
Eukaryota;Metazoa;Platyhelminthes;Trematoda;Plagiorchiida;Dicrocoeliidae;Dicrocoelium;Dicrocoelium dendriticum;22
Eukaryota;Metazoa;Arthropoda;Insecta;Hemiptera;Delphacidae;Eoeurysa;Eoeurysa sp. 1 RN-2020;21
Eukaryota;Metazoa;Chordata;Actinopteri;Stomiiformes;Stomiidae;Bathophilus;Bathophilus proximus;21
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus paralicheniformis;18
Eukaryota;Metazoa;Arthropoda;Malacostraca;Decapoda;Aeglidae;Aegla;Aegla ringueleti;18
Eukaryota;Metazoa;Chordata;Lepidosauria;Squamata;Colubridae;Zamenis;Zamenis situla;17
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces;Paecilomyces variotii;16
Eukaryota;Metazoa;Chordata;Actinopteri;Cypriniformes;Gastromyzontidae;Erromyzon;Erromyzon kalotaenia;16
Eukaryota;Metazoa;Arthropoda;Insecta;Coleoptera;Tenebrionidae;Allophylax;Allophylax picipes;15
Eukaryota;Metazoa;Arthropoda;Insecta;Hemiptera;Aleyrodidae;Singhiella;Singhiella simplex;15
Eukaryota;Metazoa;Arthropoda;Insecta;Lepidoptera;Xyloryctidae;Xylodryadella;Xylodryadella cryeranthes;15
Eukaryota;Metazoa;Chordata;Mammalia;Rodentia;Sciuridae;Callospermophilus;Callospermophilus saturatus;15
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium waksmanii;14
Eukaryota;Metazoa;Arthropoda;Arachnida;Opiliones;Gonyleptidae;Cobania;Cobania picea;14
Eukaryota;Metazoa;Arthropoda;Insecta;Diptera;Asilidae;Efferia;Efferia sp. BOLD:AAN5468;14
Eukaryota;Metazoa;Arthropoda;Insecta;Hymenoptera;Halictidae;Nomioides;Nomioides minutissimus;14
Eukaryota;Metazoa;Arthropoda;Malacostraca;Decapoda;Cryptochiridae;Lithoscaptus;Lithoscaptus sp. A SB-2024a;14
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;Cladosporium sp. BM-2009-3;13
Eukaryota;Fungi;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Kurtzmaniella;Candida anglica;12
Eukaryota;Metazoa;Arthropoda;Thecostraca;Thecostraca_Incertae_sedis;Sacculinidae;Heterosaccus;Heterosaccus dollfusi;12
Eukaryota;Metazoa;Mollusca;Bivalvia;Venerida;Veneridae;Leukoma;Leukoma staminea;12
Eukaryota;Metazoa;Arthropoda;Insecta;Coleoptera;Curculionidae;Cyclorhipidion;Cyclorhipidion pilipenne;11
Eukaryota;Metazoa;Arthropoda;Insecta;Coleoptera;Lampyridae;Pyrocoelia;Pyrocoelia pectoralis;10
Eukaryota;Metazoa;Arthropoda;Insecta;Hymenoptera;Vespidae;Stenodynerus;Stenodynerus pulvivestis;10
Eukaryota;Metazoa;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger sp. NBFGR/CONRBIC;10
Eukaryota;Metazoa;Chordata;Amphibia;Anura;Megophryidae;Boulenophrys;Boulenophrys shunhuangensis;10
Eukaryota;Metazoa;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla bicolor;1900
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Ambassidae;Ambassis;Ambassis dussumieri;3560
Eukaryota;Metazoa;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Carassius;Cypinus carpio;3000
Eukaryota;Metazoa;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Carassius;Carassius auratus;213
Eukaryota;Metazoa;Chordata;Actinopteri;Gonorynchiformes;Chanidae;Chanos;Chanos chanos;2500
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus tauvina;2500
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus corallicola;1300
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus bleekeri;2500
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Plesiopidae;Assiculus;Assiculus punctatus;2500
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Apogonidae;Apogon;Apogon kallopterus;1500
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Apogonidae;Apogon;Apogon trimaculatus;2500
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Apogonidae;Ostorhinchus;Ostorhinchus fleurieu;2500
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Caesionidae;Caesio;Caesio cuning;1000
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Leiognathidae;Leiognathus;Leiognathus splendens;2500
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Leiognathidae;Leiognathus;Leiognathus equulus;560
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Lutjanidae;Lutjanus;Lutjanus argentimaculatus;552
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Lutjanidae;Lutjanus;Lutjanus russellii;553
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Lutjanidae;Lutjanus;Lutjanus fulviflamma;564
Eukaryota;Metazoa;Chordata;Actinopteri;Gobiiformes;Gobiidae;Glossogobius;Glossogobius giuris;645
Eukaryota;Metazoa;Chordata;Actinopteri;Gobiiformes;Gobiidae;Glossogobius;Glossogobius celebius;4546
Eukaryota;Metazoa;Chordata;Actinopteri;Gobiiformes;Gobiidae;Glossogobius;Glossogobius aureus;545
Eukaryota;Metazoa;Chordata;Actinopteri;Gobiiformes;Gobiidae;Glossogobius;Glossogobius sp.;545
Eukaryota;Metazoa;Chordata;Actinopteri;Perciformes;Gerreidae;Gerres;Gerres filamentosus;3315
Eukaryota;Metazoa;Annelida;Clitellata;Naididae;Aelosomatida;Aelosoma;Aelosoma hemprichi;655
Eukaryota;Metazoa;Annelida;Clitellata;Enchytraeidae;Haplotaxida;Unidentified;Enchytraeidae spp.;235
Eukaryota;Metazoa;Platyhelminthes;Rhabditophora;Tricladida;Planariidae;Planaria;Planaria spp.;20
Eukaryota;Metazoa;Annelida;Clitellata;Naididae;Haplotaxida;Limnodrilus;Limnodrilus hoffmeisteri;355
Eukaryota;Protista;Euglenozoa;Euglenida;Euglenales;Euglenaceae;Euglena;Euglena spp.;8445
Eukaryota;Protista;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium vivax;120
Eukaryota;Protista;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium malariae;500 







